feature_name,horizon_sec,total_count,non_null_count,coverage_pct,missing_count,missing_pct,mean,std,min,p10,p25,median,p75,p90,max,outlier_count_3sigma,outlier_pct_3sigma
ref_distance_to_beat_bps,OVERALL,1650,1650,100.0,0,0.0,0.3417,5.8259,-45.78,-5.64,-2.06,0.3,2.98,6.28,48.23,22,1.33
ref_distance_to_beat_bps,240,348,348,100.0,0,0.0,0.6375,4.1871,-15.13,-3.6,-1.6,0.41,2.27,4.72,26.44,7,2.01
ref_distance_to_beat_bps,180,483,483,100.0,0,0.0,0.4959,7.1294,-45.24,-6.8,-2.27,0.3,3.67,7.19,48.23,11,2.28
ref_distance_to_beat_bps,120,461,461,100.0,0,0.0,0.1307,6.8045,-45.78,-6.68,-2.86,0.48,4.32,7.52,20.58,5,1.08
ref_distance_to_beat_bps,60,265,265,100.0,0,0.0,0.0558,3.737,-10.84,-4.62,-2.08,0.05,2.7,4.92,14.16,1,0.38
ref_distance_to_beat_bps,30,93,93,100.0,0,0.0,0.2941,1.8574,-6.18,-1.52,-0.56,0.13,1.12,2.16,8.08,2,2.15
ref_return_10s_bps,OVERALL,1650,1650,100.0,0,0.0,-0.0059,0.8084,-7.68,-0.8,-0.34,0.01,0.34,0.81,5.89,26,1.58
ref_return_10s_bps,240,348,348,100.0,0,0.0,0.088,0.9538,-3.92,-0.76,-0.32,0.04,0.39,0.91,5.89,8,2.3
ref_return_10s_bps,180,483,483,100.0,0,0.0,-0.0203,0.8849,-7.68,-0.84,-0.32,0.02,0.4,0.81,4.14,9,1.86
ref_return_10s_bps,120,461,461,100.0,0,0.0,-0.0423,0.7498,-4.57,-0.81,-0.37,0.0,0.34,0.77,2.69,7,1.52
ref_return_10s_bps,60,265,265,100.0,0,0.0,-0.0516,0.5379,-1.93,-0.71,-0.35,-0.01,0.22,0.63,1.48,2,0.75
ref_return_10s_bps,30,93,93,100.0,0,0.0,0.0277,0.6996,-2.09,-0.86,-0.33,0.07,0.4,0.9,1.53,1,1.08
ref_return_30s_bps,OVERALL,1650,1650,100.0,0,0.0,0.0019,2.2786,-20.34,-2.25,-0.96,0.02,1.02,2.43,13.98,24,1.45
ref_return_30s_bps,240,348,348,100.0,0,0.0,0.325,2.5289,-9.39,-2.24,-0.88,0.21,1.31,2.58,13.98,9,2.59
ref_return_30s_bps,180,483,483,100.0,0,0.0,-0.0511,2.5491,-20.34,-2.34,-0.97,0.02,1.1,2.53,12.49,10,2.07
ref_return_30s_bps,120,461,461,100.0,0,0.0,-0.0871,2.1639,-16.06,-2.25,-0.96,0.01,0.99,2.33,7.05,6,1.3
ref_return_30s_bps,60,265,265,100.0,0,0.0,-0.1894,1.5799,-6.12,-2.06,-0.96,-0.09,0.5,1.67,5.09,4,1.51
ref_return_30s_bps,30,93,93,100.0,0,0.0,0.0532,1.9408,-6.61,-2.32,-1.21,0.08,1.16,2.54,3.99,1,1.08
ref_return_60s_bps,OVERALL,1650,1650,100.0,0,0.0,0.0278,4.1207,-28.81,-4.06,-1.68,0.05,1.94,4.28,26.58,25,1.52
ref_return_60s_bps,240,348,348,100.0,0,0.0,0.6421,4.229,-15.26,-3.66,-1.6,0.41,2.32,4.75,26.58,7,2.01
ref_return_60s_bps,180,483,483,100.0,0,0.0,-0.0002,4.6517,-28.81,-4.68,-1.98,0.07,2.24,4.59,22.36,10,2.07
ref_return_60s_bps,120,461,461,100.0,0,0.0,-0.091,4.2127,-28.7,-3.93,-1.47,0.15,2.06,4.32,12.11,7,1.52
ref_return_60s_bps,60,265,265,100.0,0,0.0,-0.4357,2.9413,-12.0,-4.0,-1.68,-0.36,0.86,2.65,11.88,3,1.13
ref_return_60s_bps,30,93,93,100.0,0,0.0,-0.2152,2.7917,-8.65,-4.14,-1.6,-0.01,1.17,3.15,5.81,1,1.08
binance_return_since_open_bps,OVERALL,1650,1650,100.0,0,0.0,0.1331,6.8474,-44.783,-6.814,-2.893,0.238,3.416,6.846,54.067,26,1.58
binance_return_since_open_bps,240,348,348,100.0,0,0.0,0.3817,5.9996,-27.086,-5.772,-2.482,0.296,3.026,6.159,28.93,6,1.72
binance_return_since_open_bps,180,483,483,100.0,0,0.0,0.3588,8.2143,-43.085,-7.629,-2.979,0.574,4.325,7.904,54.067,9,1.86
binance_return_since_open_bps,120,461,461,100.0,0,0.0,-0.196,7.6632,-44.783,-8.841,-3.436,0.177,4.108,7.909,21.987,6,1.3
binance_return_since_open_bps,60,265,265,100.0,0,0.0,0.0441,3.9748,-14.364,-4.993,-2.298,0.139,2.365,4.51,13.207,2,0.75
binance_return_since_open_bps,30,93,93,100.0,0,0.0,-0.084,3.3245,-8.725,-3.701,-1.912,-0.048,1.252,3.397,12.414,1,1.08
binance_return_10s_bps,OVERALL,1650,96,5.82,1554,94.18,-4.1213,46.3344,-149.649,-47.509,-29.037,0.69,32.186,41.162,59.88,3,3.12
binance_return_10s_bps,240,348,23,6.61,325,93.39,-3.1047,37.745,-105.133,-44.153,-24.999,0.006,17.402,34.611,52.429,0,0.0
binance_return_10s_bps,180,483,28,5.8,455,94.2,-4.456,48.823,-145.795,-93.161,-29.037,1.119,24.068,46.46,59.88,0,0.0
binance_return_10s_bps,120,461,25,5.42,436,94.58,-7.9717,53.0501,-148.63,-100.459,-29.946,0.563,32.781,40.07,46.513,0,0.0
binance_return_10s_bps,60,265,14,5.28,251,94.72,-4.4646,51.2388,-149.649,-42.557,-35.331,1.155,30.558,38.079,48.739,0,0.0
binance_return_10s_bps,30,93,6,6.45,87,93.55,10.3878,31.3501,-41.147,-41.147,-1.119,-1.027,25.356,39.102,41.162,0,0.0
binance_return_30s_bps,OVERALL,1650,96,5.82,1554,94.18,-4.1469,46.3545,-149.649,-47.509,-29.037,1.109,32.186,41.162,59.88,3,3.12
binance_return_30s_bps,240,348,23,6.61,325,93.39,-3.146,37.7321,-105.133,-44.153,-24.999,-0.517,17.402,34.611,52.429,0,0.0
binance_return_30s_bps,180,483,28,5.8,455,94.2,-4.759,48.807,-145.795,-93.161,-29.037,1.109,24.068,46.46,59.88,0,0.0
binance_return_30s_bps,120,461,25,5.42,436,94.58,-7.5997,53.1612,-148.63,-100.459,-29.946,5.682,32.781,40.07,46.513,0,0.0
binance_return_30s_bps,60,265,14,5.28,251,94.72,-4.42,51.2544,-149.649,-42.557,-35.331,0.214,30.558,38.079,48.739,0,0.0
