horizon_sec,forecaster,n_observations,n_rounds,brier,log_loss,accuracy_05,mean_prediction,observed_frequency,calibration_intercept,calibration_slope,mace,paired_n,delta_brier,delta_log_loss,delta_brier_95ci
240,Native Polymarket Baseline,348,348,0.20411,0.59297,0.6925,0.5256,0.5201,-0.0284,1.0167,0.02902,,,,
240,BTC5M_REFERENCE_ONLY,348,348,0.22622,0.64456,0.6437,0.5427,0.5201,-0.171,1.4166,0.02796,348,0.02211,0.05159,"(0.00752, 0.03536)"
240,BTC5M_REFERENCE_PLUS_PERP,348,348,0.22017,0.63109,0.6466,0.533,0.5201,-0.0769,1.1346,0.05095,348,0.01606,0.03811,"(0.00294, 0.02846)"
240,BTC5M_MARKET_AWARE,348,348,0.21112,0.60994,0.6437,0.5111,0.5201,0.0278,1.1695,0.0621,348,0.00701,0.01697,"(-0.00136, 0.01478)"
240,BTC5M_FULL,348,348,0.20938,0.60601,0.6466,0.5193,0.5201,-0.013,1.147,0.06466,348,0.00527,0.01303,"(-0.00384, 0.01327)"
180,Native Polymarket Baseline,483,483,0.15792,0.47774,0.7702,0.5349,0.5093,-0.1814,1.1446,0.04127,,,,
180,BTC5M_REFERENCE_ONLY,483,483,0.20516,0.60115,0.7205,0.5333,0.5093,-0.2828,2.212,0.11665,483,0.04724,0.12341,"(0.03575, 0.05841)"
180,BTC5M_REFERENCE_PLUS_PERP,483,483,0.19047,0.56857,0.7267,0.5227,0.5093,-0.149,1.7771,0.08981,483,0.03255,0.09083,"(0.0221, 0.0429)"
180,BTC5M_MARKET_AWARE,483,483,0.17133,0.5201,0.7433,0.5028,0.5093,-0.0135,1.4636,0.07507,483,0.01341,0.04236,"(0.00713, 0.01971)"
180,BTC5M_FULL,483,483,0.17091,0.51864,0.7433,0.5111,0.5093,-0.0671,1.4386,0.10083,483,0.01299,0.0409,"(0.00627, 0.01976)"
120,Native Polymarket Baseline,460,460,0.12483,0.38668,0.813,0.5236,0.5065,-0.146,1.0641,0.04844,,,,
120,BTC5M_REFERENCE_ONLY,461,461,0.1917,0.5737,0.7852,0.5395,0.5054,-0.5222,2.978,0.16538,460,0.06699,0.18727,"(0.05362, 0.07993)"
120,BTC5M_REFERENCE_PLUS_PERP,461,461,0.17306,0.53192,0.7852,0.5242,0.5054,-0.2658,2.2663,0.13536,460,0.04845,0.14572,"(0.03628, 0.05999)"
120,BTC5M_MARKET_AWARE,461,461,0.13869,0.44228,0.8113,0.4935,0.5054,-0.0179,1.6408,0.09989,460,0.01414,0.05628,"(0.00665, 0.02136)"
120,BTC5M_FULL,461,461,0.14012,0.44637,0.8091,0.5052,0.5054,-0.1093,1.6432,0.10662,460,0.01555,0.06031,"(0.00803, 0.02318)"
60,Native Polymarket Baseline,265,265,0.08471,0.284,0.8792,0.523,0.5057,-0.25,1.3352,0.04884,,,,
60,BTC5M_REFERENCE_ONLY,265,265,0.1999,0.59083,0.7849,0.5218,0.5057,-0.2258,2.7182,0.18238,265,0.11519,0.30683,"(0.09715, 0.13162)"
60,BTC5M_REFERENCE_PLUS_PERP,265,265,0.18291,0.55351,0.766,0.5059,0.5057,-0.0313,2.3551,0.13343,265,0.09821,0.26951,"(0.08075, 0.11359)"
60,BTC5M_MARKET_AWARE,265,265,0.1244,0.41031,0.8377,0.4831,0.5057,0.0511,2.054,0.11181,265,0.03969,0.12631,"(0.02954, 0.04907)"
60,BTC5M_FULL,265,265,0.12922,0.42337,0.834,0.4939,0.5057,-0.0543,2.1058,0.13928,265,0.04452,0.13937,"(0.03375, 0.05445)"
30,Native Polymarket Baseline,93,93,0.04799,0.18246,0.957,0.5533,0.5591,0.1111,1.2964,0.05667,,,,
30,BTC5M_REFERENCE_ONLY,93,93,0.2037,0.59812,0.6989,0.5362,0.5591,-0.1841,3.3129,0.14032,93,0.15571,0.41566,"(0.11952, 0.18852)"
30,BTC5M_REFERENCE_PLUS_PERP,93,93,0.19458,0.57856,0.7312,0.5147,0.5591,0.1558,2.7149,0.13602,93,0.14659,0.3961,"(0.10808, 0.18036)"
30,BTC5M_MARKET_AWARE,93,93,0.1121,0.38629,0.8925,0.5017,0.5591,0.0587,4.0188,0.18602,93,0.06411,0.20383,"(0.03619, 0.09254)"
30,BTC5M_FULL,93,93,0.12235,0.41474,0.8817,0.5153,0.5591,-0.3146,4.4638,0.19484,93,0.07436,0.23228,"(0.04602, 0.10299)"
