feature_name,label,sign,standardized_beta,raw_beta,cv_brier,cv_log_loss,delta_brier_vs_base,delta_logloss_vs_base
ref_distance_to_beat_bps,POST_HOC_DEVELOPMENT_DIAGNOSTIC,+,1.7087,0.29729,0.18499,0.55073,-0.06485,-0.14209
binance_return_since_open_bps,POST_HOC_DEVELOPMENT_DIAGNOSTIC,+,1.8182,0.26943,0.1798,0.53794,-0.07004,-0.15488
binance_basis_bps,POST_HOC_DEVELOPMENT_DIAGNOSTIC,+,0.7489,0.22094,0.22566,0.64424,-0.02418,-0.04859
binance_microprice_offset_bps,POST_HOC_DEVELOPMENT_DIAGNOSTIC,+,0.1838,0.20489,0.2483,0.68981,-0.00154,-0.00301
binance_top5_depth_imbalance,POST_HOC_DEVELOPMENT_DIAGNOSTIC,+,0.1913,0.33694,0.2482,0.68954,-0.00164,-0.00328
binance_top20_depth_imbalance,POST_HOC_DEVELOPMENT_DIAGNOSTIC,+,0.1961,0.34852,0.24811,0.68937,-0.00173,-0.00345
ref_return_10s_bps,POST_HOC_DEVELOPMENT_DIAGNOSTIC,+,0.8237,1.01581,0.22468,0.64061,-0.02516,-0.05221
ref_return_30s_bps,POST_HOC_DEVELOPMENT_DIAGNOSTIC,+,0.8365,0.36915,0.22399,0.63845,-0.02585,-0.05437
ref_return_60s_bps,POST_HOC_DEVELOPMENT_DIAGNOSTIC,+,0.8599,0.21006,0.22204,0.63548,-0.0278,-0.05734
binance_spread_bps,POST_HOC_DEVELOPMENT_DIAGNOSTIC,+,0.1259,0.01889,0.25053,0.69514,0.00069,0.00232
poly_spread,POST_HOC_DEVELOPMENT_DIAGNOSTIC,+,0.0243,0.02828,0.25068,0.6945,0.00084,0.00168
